PropType,Address,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,9469 N MICHAEL CT,9,40,Tudor,Fiber Cement/Hardiplank,2.0,2006,9,2936,1,4,2,1,10607,2019-09,380000
Residential,9391 N JOYCE AV,9,40,Colonial,Aluminum/Vinyl,2.0,1980,6,1489,1,3,1,1,10790,2019-05,185000
Residential,9368 N 85TH ST,9,40,Ranch,Aluminum/Vinyl,1.0,1981,6,1475,1,3,1,1,8400,2019-10,145500
Residential,8138 W GLENBROOK RD,9,40,Ranch,Aluminum/Vinyl,1.0,1989,5,1241,1,3,1,1,7200,2019-07,135000
Residential,7970 W GLENBROOK RD,9,40,Colonial,Aluminum/Vinyl,2.0,2006,9,2244,1,4,2,1,8925,2019-08,265000
Residential,6932 W BEATRICE CT,9,40,Colonial,Aluminum/Vinyl,2.0,2005,9,2206,1,4,2,1,7756,2019-02,245000
Residential,6918 W MARINE CT,9,40,Bi-Level,Aluminum/Vinyl,1.0,1984,8,2212,1,4,2,1,7473,2019-02,157000
Residential,8651 W GREENBROOK DR,9,40,Ranch,Aluminum/Vinyl,1.0,1982,6,1487,1,3,1,1,7200,2019-11,165000
Residential,11606 W HEATHER DR,9,240,Colonial,Fiber Cement/Hardiplank,2.0,2017,0,2576,1,4,2,1,12064,2019-05,339000
Residential,11602 W BRITTANY WA,9,240,Colonial,Fiber Cement/Hardiplank,2.0,2008,9,2595,1,4,2,1,13287,2019-06,269800
Residential,8549-8551 N 106TH ST,9,240,Townhouse,Aluminum/Vinyl,2.0,1970,10,2423,2,6,2,2,8175,2019-11,126000
Residential,8452 N 103RD ST,9,240,Colonial,Aluminum/Vinyl,2.0,2005,9,2571,1,4,2,1,13712,2019-10,299500
Residential,8414 N 102ND CT,9,240,Colonial,Aluminum/Vinyl,2.0,2004,10,3498,1,4,2,1,16435,2019-05,330000
Residential,7928 W BRADLEY RD,9,240,Cape Cod,Aluminum/Vinyl,1.0,1949,6,1232,1,3,1,1,21583,2019-02,75000
Residential,9530 W DARNEL AV,9,240,Colonial,Aluminum/Vinyl,2.0,1996,7,1543,1,3,1,1,7200,2019-08,194900
Residential,9333 W GOODRICH AV,9,240,Ranch,Asphalt/Other,1.0,1980,5,1077,1,3,1,1,7200,2019-07,145000
Residential,8259 N 97TH ST,9,240,Colonial,Aluminum/Vinyl,2.0,1996,7,1494,1,3,1,1,7754,2019-10,233000
Residential,9724 W ARCH CT,9,240,Colonial,Aluminum/Vinyl,2.0,1980,6,1353,1,3,1,1,12876,2019-10,210900
Residential,9680 W ARCH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1980,6,1320,1,3,1,1,7636,2019-08,200000
Residential,9616 W ARCH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1980,5,1077,1,3,1,1,7680,2019-09,31800
Residential,9616 W ARCH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1980,5,1077,1,3,1,1,7680,2019-10,75000
Residential,8338 N 95TH ST,9,240,Colonial,Aluminum/Vinyl,2.0,1992,6,1614,1,3,1,1,7793,2019-08,239900
Residential,9412 W GOODRICH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1980,5,1077,1,3,1,1,7200,2019-09,165000
Residential,9454 W GOODRICH AV,9,240,Colonial,Aluminum/Vinyl,2.0,1979,6,1461,1,3,1,1,9000,2019-10,180000
Residential,9510 W GOODRICH AV,9,240,Ranch,Asphalt/Other,1.0,1980,5,1077,1,3,1,1,8510,2019-09,143500
Residential,9512 W GOODRICH CT,9,240,Ranch,Aluminum/Vinyl,1.0,1980,5,1077,1,3,1,1,7380,2019-02,159000
Residential,8091 N 105TH ST,9,240,Ranch,Aluminum/Vinyl,1.0,1972,6,1219,1,3,1,1,11692,2019-08,154900
Residential,8131 N JOSEPH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1970,6,1279,1,3,1,1,10380,2019-07,179000
Residential,8183 N PINGREE AV,9,240,Ranch,Aluminum/Vinyl,1.0,1970,5,1205,1,2,1,1,9000,2019-03,117100
Residential,8069 N PINGREE AV,9,240,Ranch,Aluminum/Vinyl,1.0,1969,5,1119,1,3,1,1,12587,2019-10,170500
Residential,10344 W TOWER AV,9,240,Ranch,Aluminum/Vinyl,1.0,1969,6,1534,1,3,1,1,12865,2019-03,164000
Residential,10435 W TERRA AV,9,240,Ranch,Aluminum/Vinyl,1.0,1971,5,1200,1,3,1,1,10500,2019-06,137000
Residential,10415 W TERRA AV,9,240,Ranch,Aluminum/Vinyl,1.0,1971,6,1200,1,4,1,1,10500,2019-10,152000
Residential,10345 W TERRA AV,9,240,Ranch,Aluminum/Vinyl,1.0,1969,5,1089,1,3,1,1,10500,2019-11,170000
Residential,10271 W TOWER AV,9,240,Ranch,Aluminum/Vinyl,1.0,1971,6,1200,1,4,1,1,9000,2019-04,118000
Residential,10404 W TERRA AV,9,240,Colonial,Aluminum/Vinyl,2.0,1969,7,1628,1,4,1,1,9550,2019-08,192000
Residential,8269 N ANN ST,9,240,Ranch,Aluminum/Vinyl,1.0,1966,6,1410,1,3,1,1,9545,2019-10,160250
Residential,10385 W SYLVIA ST,9,240,Ranch,Aluminum/Vinyl,1.0,1975,6,1324,1,3,1,1,9000,2019-04,159900
Residential,8251 N JOSEPH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1972,6,1200,1,4,1,1,8880,2019-05,130000
Residential,10441 W VILLA AV,9,240,Ranch,Asphalt/Other,1.0,1973,6,1120,1,4,1,1,7500,2019-12,113000
Residential,10148 W ARCH AV,9,240,Ranch,Aluminum/Vinyl,1.0,1972,5,1200,1,3,1,1,13392,2019-05,141059
Residential,8350 N 106TH ST,9,240,Ranch,Aluminum/Vinyl,1.0,1972,6,1140,1,4,1,1,7200,2019-05,158000
Residential,8372 N 107TH ST,9,240,Residence O/S,Frame,1.5,1890,7,1494,1,4,1,2,11475,2019-05,88000
Residential,8360 N ANN ST,9,240,Colonial,Aluminum/Vinyl,2.0,2005,9,2668,1,4,2,1,11900,2019-06,273000
Residential,8239 N 111TH ST,9,240,Colonial,Aluminum/Vinyl,2.0,2001,8,2431,1,4,2,1,13068,2019-10,266900
Residential,11007 W VILLA AV,9,240,Colonial,Aluminum/Vinyl,2.0,2001,9,2868,1,4,2,1,30486,2019-08,375000
Residential,8041 N 107TH ST,9,240,Residence O/S,Stucco,2.0,1860,7,2400,1,4,1,1,31363,2019-05,177000
Residential,9660 W FOUNTAIN AV,9,240,Colonial,Aluminum/Vinyl,2.0,2012,9,2090,1,4,2,1,12223,2019-08,285000
Residential,9604 W LOLITA AV,9,240,Colonial,Aluminum/Vinyl,2.0,2007,9,2050,1,4,2,1,9230,2019-08,260000
Residential,7870 N 99TH ST,9,240,Colonial,Aluminum/Vinyl,2.0,2008,8,2055,1,4,2,1,9710,2019-10,280000
Residential,7725-7727 N 80TH ST,9,240,Townhouse,Aluminum/Vinyl,2.0,1979,10,2363,2,6,2,2,8100,2019-03,128000
Residential,7878 N 57TH ST,9,360,Ranch,Frame,1.0,1959,5,1346,1,3,2,1,10000,2019-07,177500
Residential,7824 N EDGEWORTH DR,9,360,Ranch,Brick,1.0,1957,5,1190,1,3,1,1,10000,2019-10,91000
Residential,7840 N 53RD ST,9,360,Ranch,Frame,1.0,1957,5,1183,1,3,1,1,10000,2019-02,172000
Residential,7705 N EDGEWORTH DR,9,360,Ranch,Aluminum/Vinyl,1.0,1957,6,1155,1,3,1,1,10353,2019-07,185000
Residential,5307 W SPRING LA,9,360,Ranch,Aluminum/Vinyl,1.0,1958,7,1438,1,3,1,1,11608,2019-06,160000
Residential,5403 W SPRING LA,9,360,Cape Cod,Aluminum/Vinyl,1.0,1958,6,1494,1,4,1,1,10125,2019-01,103000
Residential,7503 N 39TH ST,1,380,Ranch,Stone,1.0,1957,5,1238,1,3,1,1,9000,2019-08,150000
Residential,5223 W HEMLOCK RD,9,360,Ranch,Aluminum/Vinyl,1.0,1965,5,1015,1,3,1,1,7875,2019-07,127000
Residential,7433 N 52ND ST,9,360,Ranch,Aluminum/Vinyl,1.0,1958,5,1145,1,3,1,1,8750,2019-06,152000
Residential,5412 W GREENWOOD TRCE,9,360,Ranch,Aluminum/Vinyl,1.0,1958,5,1153,1,3,1,1,7560,2019-09,173000
Residential,7515 N 90TH ST,9,440,Ranch,Aluminum/Vinyl,1.0,1965,6,1147,1,3,1,1,9375,2019-01,164500
Residential,9010 W PORTAGE ST,9,440,Ranch,Aluminum/Vinyl,1.0,1965,7,1337,1,3,1,1,10241,2019-07,163500
Residential,7524 N 90TH ST,9,440,Colonial,Aluminum/Vinyl,2.0,1966,7,1678,1,4,1,1,9240,2019-05,196000
Residential,8831 W GREENWOOD TRCE,9,440,Ranch,Asphalt/Other,1.0,1969,6,1227,1,3,1,1,9375,2019-06,145000
Residential,8801 W PORTAGE ST,9,440,Ranch,Aluminum/Vinyl,1.0,1969,6,1248,1,3,1,1,9000,2019-05,182000
Residential,8714 W GREENWOOD TRCE,9,440,Ranch,Aluminum/Vinyl,1.0,1969,6,1606,1,3,1,1,9000,2019-04,174900
Residential,9810 W GOOD HOPE RD,5,440,Ranch,Brick,1.0,1979,6,1828,1,3,2,1,12000,2019-07,189900
Residential,9721 W JUNIPER CT,5,440,Colonial,Aluminum/Vinyl,2.0,1984,6,2061,1,3,1,1,12000,2019-10,230000
Residential,9722 W GREENWOOD TRCE,5,440,Colonial,Aluminum/Vinyl,2.0,1999,8,2589,1,4,2,1,15602,2019-06,300000
Residential,9321 W MT ZION DR,5,440,Colonial,Aluminum/Vinyl,2.0,2008,8,2030,1,4,2,1,12545,2019-09,285000
Residential,10545 W GREENWOOD TRCE,5,440,Colonial,Aluminum/Vinyl,2.0,1980,8,2114,1,4,2,1,36590,2019-10,243000
Residential,10420 W GREENWOOD TRCE,5,440,Colonial,Aluminum/Vinyl,2.0,1979,8,2303,1,4,2,1,84071,2019-07,237500
Residential,7334 N CASSIE AV,5,820,Colonial,Fiber Cement/Hardiplank,2.0,2011,10,3200,1,5,2,1,11514,2019-07,369100
Residential,7352 N CASSIE AV,5,820,Colonial,Masonry/Frame,2.0,2019,0,2128,1,3,2,1,8992,2019-02,303300
Residential,7255 N BEAU AV,5,820,Ranch,Fiber Cement/Hardiplank,1.0,2009,8,2187,1,3,2,1,11625,2019-09,362500
Residential,7228 N BEAU AV,5,820,Colonial,Aluminum/Vinyl,2.0,2017,0,3152,1,4,2,1,10001,2019-06,329000
Residential,7043 N 107TH ST,5,440,Cape Cod,Brick,1.0,1957,7,2070,1,4,1,2,51666,2019-10,233000
Residential,6969 N 100TH ST,5,440,Ranch,Frame,1.0,1956,6,1671,1,3,1,1,32234,2019-01,183500
Residential,7000 N 102ND ST,5,440,Ranch,Frame,1.0,1956,5,1166,1,3,1,1,32670,2019-10,171500
Residential,6721 N 99TH ST,5,440,Ranch,Stone,1.0,1956,6,1405,1,3,1,1,27878,2019-08,182000
Residential,6931 N 99TH ST,5,440,Colonial,Aluminum/Vinyl,2.0,1973,8,2010,1,4,1,1,21742,2019-10,248000
Residential,9900 W BEECHWOOD AV,5,440,Ranch,Masonry/Frame,1.0,1967,6,1879,1,3,1,1,24000,2019-04,279000
Residential,10242 W VERA AV,5,440,Ranch,Brick,1.0,1968,7,1743,1,3,1,1,44867,2019-09,227000
Residential,9700 W BEECHWOOD AV,5,440,Ranch,Frame,1.0,1967,7,1497,1,3,1,1,13428,2019-06,218000
Residential,9601 W MARCELLE AV,5,440,Colonial,Masonry/Frame,2.0,1972,9,2812,1,4,2,1,12950,2019-03,241000
Residential,7034 N 98TH ST,5,440,Ranch,Brick,1.0,1963,7,1517,1,3,1,1,12000,2019-06,225000
Residential,9613 W GOOD HOPE RD,5,440,Ranch,Aluminum/Vinyl,1.0,1968,6,1498,1,3,1,1,12000,2019-03,160000
Residential,9512 W ROCHELLE AV,5,440,Ranch,Brick,1.0,1966,7,1560,1,3,1,1,12000,2019-08,166957
Residential,9422 W VERA AV,5,440,Ranch,Frame,1.0,1964,7,1704,1,3,1,1,12053,2019-09,211000
Residential,6854 N PARK MANOR DR,5,440,Colonial,Masonry/Frame,2.0,1968,8,2097,1,4,2,1,12000,2019-06,206000
Residential,9013 W CHEYENNE CT,9,480,Ranch,Aluminum/Vinyl,1.0,1968,6,1632,1,3,1,1,12201,2019-07,230000
Residential,8703 W CHEYENNE ST,9,480,Ranch,Asphalt/Other,1.0,1966,8,1635,1,4,1,1,9000,2019-10,176000
Residential,8851 W DALLAS ST,9,480,Colonial,Asphalt/Other,2.0,1965,7,1612,1,4,1,1,11250,2019-08,150500
Residential,8821 W DALLAS ST,9,480,Colonial,Asphalt/Other,2.0,1965,7,1591,1,4,1,1,11250,2019-04,198000
Residential,8801 W DALLAS ST,9,480,Ranch,Aluminum/Vinyl,1.0,1965,5,1227,1,3,1,1,11250,2019-06,182000
Residential,8651 W DALLAS ST,9,480,Colonial,Asphalt/Other,2.0,1965,7,1600,1,4,1,1,11550,2019-02,189900
Residential,8620 W CHEYENNE ST,9,480,Ranch,Asphalt/Other,1.0,1965,5,1227,1,2,1,1,10797,2019-06,148000
Residential,8567 W CHEYENNE ST,9,480,Ranch,Aluminum/Vinyl,1.0,1967,5,1231,1,3,2,1,10800,2019-02,165000
Residential,6778 N BURBANK AV,9,480,Ranch,Aluminum/Vinyl,1.0,1966,5,1227,1,3,1,1,9000,2019-09,155000
Residential,6824 N BURBANK AV,9,480,Ranch,Asphalt/Other,1.0,1965,5,1227,1,3,1,1,9000,2019-06,80000
Residential,6966 N 85TH ST,9,480,Ranch,Aluminum/Vinyl,1.0,1966,6,1420,1,3,1,1,9750,2019-01,148000
Residential,7017 N 84TH ST,9,480,Colonial,Asphalt/Other,2.0,1968,7,1636,1,4,1,1,9750,2019-09,181000
Residential,6900 N 86TH ST,9,480,Ranch,Asphalt/Other,1.0,1966,6,1420,1,3,1,1,11485,2019-01,164500
Residential,8851 W HELENA ST,9,480,Ranch,Asphalt/Other,1.0,1973,6,1200,1,4,1,1,11618,2019-10,149900
Residential,6925 N TACOMA ST,9,480,Ranch,Aluminum/Vinyl,1.0,1970,5,1227,1,3,1,1,9216,2019-07,175000
Residential,7933 W DENVER AV,9,480,Ranch,Aluminum/Vinyl,1.0,1971,6,1111,1,4,1,1,7620,2019-07,108000
Residential,7729 W DENVER AV,9,480,Colonial,Asphalt/Other,2.0,1971,6,1240,1,4,1,1,7620,2019-08,120000
Residential,7810 W BEECHWOOD AV,9,480,Ranch,Aluminum/Vinyl,1.0,1971,5,1095,1,4,1,1,7620,2019-11,160000
Residential,6828 N 80TH ST,9,480,Ranch,Aluminum/Vinyl,1.0,1972,6,1108,1,3,1,1,7638,2019-05,130000
Residential,7919 W BEECHWOOD AV,9,480,Ranch,Aluminum/Vinyl,1.0,1969,5,1448,1,2,1,1,7800,2019-09,140000
Residential,7737 W BEECHWOOD AV,9,480,Ranch,Aluminum/Vinyl,1.0,1968,7,1418,1,3,1,1,7800,2019-09,92500
Residential,7737 W BEECHWOOD AV,9,480,Ranch,Aluminum/Vinyl,1.0,1968,7,1418,1,3,1,1,7800,2019-09,90000
Residential,7737 W BEECHWOOD AV,9,480,Ranch,Aluminum/Vinyl,1.0,1968,7,1418,1,3,1,1,7800,2019-09,90000
Residential,8001 W BEECHWOOD AV,9,480,Ranch,Asphalt/Other,1.0,1971,5,1108,1,3,1,1,8190,2019-07,153000
Residential,6973 N 79TH CT,9,480,Ranch,Aluminum/Vinyl,1.0,1975,5,1227,1,3,1,1,8245,2019-07,170000
Residential,7841 W HUSTIS ST,9,480,Ranch,Aluminum/Vinyl,1.0,1975,5,1227,1,3,1,1,7200,2019-06,139000
Residential,6130 W SPOKANE ST,9,520,Ranch,Aluminum/Vinyl,1.0,1963,5,1006,1,3,1,1,7344,2019-01,114000
Residential,6431 W SPOKANE ST,9,520,Ranch,Aluminum/Vinyl,1.0,1964,6,1232,1,3,1,1,7850,2019-08,130000
